,area,value,year,item
14,新潟県,149949.4658997535,1961.0,pergdp
15,富山県,209461.24031007753,1961.0,pergdp
16,石川県,177810.2564102564,1961.0,pergdp
17,福井県,161001.32802124837,1961.0,pergdp
18,山梨県,135048.90604890606,1961.0,pergdp
19,長野県,145384.30379746837,1961.0,pergdp
20,岐阜県,178231.00303951363,1961.0,pergdp
21,静岡県,215467.0981661273,1961.0,pergdp
22,愛知県,262166.70525584626,1961.0,pergdp
23,三重県,200264.92287055665,1961.0,pergdp
24,滋賀県,174280.80568720374,1961.0,pergdp
25,京都府,195391.737182678,1961.0,pergdp
26,大阪府,299203.8360941587,1961.0,pergdp
27,兵庫県,226154.54089312602,1961.0,pergdp
28,奈良県,155128.82653061225,1961.0,pergdp
29,和歌山県,190223.10756972112,1961.0,pergdp
30,鳥取県,137374.78991596634,1961.0,pergdp
31,島根県,126904.43686006824,1961.0,pergdp
32,岡山県,168935.65844858688,1961.0,pergdp
33,広島県,196226.98268003645,1961.0,pergdp
34,山口県,190361.982434128,1961.0,pergdp
35,徳島県,138187.1275327771,1961.0,pergdp
36,香川県,156130.6256860593,1961.0,pergdp
37,愛媛県,164242.60752688177,1961.0,pergdp
38,高知県,139429.58579881655,1961.0,pergdp
39,福岡県,193971.46433041306,1961.0,pergdp
40,佐賀県,126420.43010752687,1961.0,pergdp
41,長崎県,119225.60275545351,1961.0,pergdp
42,熊本県,114520.13057671385,1961.0,pergdp
43,大分県,129949.59349593494,1961.0,pergdp
44,宮崎県,114331.85448092279,1961.0,pergdp
45,鹿児島県,104261.96603190944,1961.0,pergdp
46,沖縄県,77149.48453608247,1961.0,pergdp
0,北海道,201351.04922533827,1962.0,pergdp
1,青森県,140560.87262491204,1962.0,pergdp
2,岩手県,145942.9763560501,1962.0,pergdp
3,宮城県,168462.24783861672,1962.0,pergdp
4,秋田県,165302.3610053313,1962.0,pergdp
5,山形県,145623.45679012348,1962.0,pergdp
6,福島県,142463.63186541313,1962.0,pergdp
7,茨城県,175186.2840466926,1962.0,pergdp
8,栃木県,193464.63978849968,1962.0,pergdp
9,群馬県,168657.19696969696,1962.0,pergdp
10,埼玉県,172040.57187017007,1962.0,pergdp
11,千葉県,159753.70675453046,1962.0,pergdp
12,東京都,388363.26291079813,1962.0,pergdp
13,神奈川県,297355.695869508,1962.0,pergdp
14,新潟県,179869.47542337875,1962.0,pergdp
15,富山県,217029.15451895047,1962.0,pergdp
16,石川県,206878.8501026694,1962.0,pergdp
17,福井県,185190.1595744681,1962.0,pergdp
18,山梨県,157411.6883116883,1962.0,pergdp
19,長野県,166621.63534789233,1962.0,pergdp
20,岐阜県,197983.69565217392,1962.0,pergdp
21,静岡県,246831.31672597863,1962.0,pergdp
22,愛知県,290224.554276687,1962.0,pergdp
23,三重県,238199.19786096254,1962.0,pergdp
24,滋賀県,198055.4899645809,1962.0,pergdp
25,京都府,226631.34549038933,1962.0,pergdp
26,大阪府,340271.6482781678,1962.0,pergdp
27,兵庫県,238928.09815950922,1962.0,pergdp
28,奈良県,176631.17870722435,1962.0,pergdp
29,和歌山県,226158.0516898608,1962.0,pergdp
30,鳥取県,155851.09983079525,1962.0,pergdp
31,島根県,141299.07621247115,1962.0,pergdp
32,岡山県,191507.56200846945,1962.0,pergdp
33,広島県,220802.80416101307,1962.0,pergdp
34,山口県,215604.41640378546,1962.0,pergdp
35,徳島県,155031.25,1962.0,pergdp
36,香川県,176559.73451327434,1962.0,pergdp
37,愛媛県,182834.46404341926,1962.0,pergdp
38,高知県,154887.4251497006,1962.0,pergdp
39,福岡県,209337.09273182962,1962.0,pergdp
40,佐賀県,145187.70581778267,1962.0,pergdp
41,長崎県,126665.49912434325,1962.0,pergdp
42,熊本県,128208.58558062742,1962.0,pergdp
43,大分県,154633.52506162695,1962.0,pergdp
44,宮崎県,133323.15978456015,1962.0,pergdp
45,鹿児島県,119776.3845350052,1962.0,pergdp
46,沖縄県,89602.0618556701,1962.0,pergdp
0,北海道,240847.4609375,1963.0,pergdp
1,青森県,159653.9816772375,1963.0,pergdp
2,岩手県,169786.16352201256,1963.0,pergdp
3,宮城県,196182.96892980442,1963.0,pergdp
4,秋田県,188253.45622119814,1963.0,pergdp
5,山形県,169948.63813229572,1963.0,pergdp
6,福島県,164620.82710513205,1963.0,pergdp
7,茨城県,188674.6225036532,1963.0,pergdp
8,栃木県,221793.5356200528,1963.0,pergdp
9,群馬県,196116.42542479548,1963.0,pergdp
10,埼玉県,212337.74834437086,1963.0,pergdp
11,千葉県,202117.3652694611,1963.0,pergdp
12,東京都,442154.15472779365,1963.0,pergdp
13,神奈川県,358836.59147869673,1963.0,pergdp
14,新潟県,210121.06135986734,1963.0,pergdp
15,富山県,247233.46303501946,1963.0,pergdp
16,石川県,237115.89743589747,1963.0,pergdp
17,福井県,212378.98936170212,1963.0,pergdp
18,山梨県,180063.88526727512,1963.0,pergdp
19,長野県,194367.43002544533,1963.0,pergdp
20,岐阜県,226986.25224148238,1963.0,pergdp
21,静岡県,282928.2195636876,1963.0,pergdp
22,愛知県,336958.9101296418,1963.0,pergdp
23,三重県,265722.9235880399,1963.0,pergdp
24,滋賀県,232206.85579196215,1963.0,pergdp
25,京都府,260643.7621832359,1963.0,pergdp
26,大阪府,393878.98807605536,1963.0,pergdp
27,兵庫県,268944.177093359,1963.0,pergdp
28,奈良県,202480.0,1963.0,pergdp
29,和歌山県,262801.1869436201,1963.0,pergdp
30,鳥取県,174559.52380952382,1963.0,pergdp
31,島根県,156380.28169014087,1963.0,pergdp
32,岡山県,226528.5540704739,1963.0,pergdp
